group,symbol,size,outer_d_mm,inner_d_mm,thickness_mm,SWD_mm,LWD_mm,unit,length_m,weight,note,列1,列2
角鉄,SB,9.52×9.52,,,,,,bar,,0.711,,,
角鉄,SB,12.7×12.7,,,,,,bar,,1.27,,,
角鉄,SB,16×16,,,,,,bar,,2.01,,,
角鉄,SB,19×19,,,,,,bar,,2.83,,,
角鉄,SB,22×22,,,,,,bar,,3.8,,,
角鉄,SB,25×25,,,,,,bar,,4.91,,,
角鉄,SB,28×28,,,,,,bar,,6.15,,,
角鉄,SB,32×32,,,,,,bar,,8.04,,,
角鉄,SB,38×38,,,,,,bar,,11.35,,,
角鉄,SB,44×44,,,,,,bar,,15.2,,,
角鉄,SB,50×50,,,,,,bar,,19.63,,,
角鉄,SB,65×65,,,,,,bar,,33.2,,,
角鉄,SB,75×75,,,,,,bar,,44.2,,,
角鉄,SB,90×90,,,,,,bar,,63.6,,,
角鉄,SB,100×100,,,,,,bar,,78.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
エキスパンドメタル,EXM,XS-31,,,1.2,12,30.5,kg/m2,,2.36,,,
エキスパンドメタル,EXM,XS-32,,,1.6,12,30.5,kg/m2,,4.19,,,
エキスパンドメタル,EXM,XS-33,,,2.3,12,30.5,kg/m2,,9.03,,,
エキスパンドメタル,EXM,XS-41,,,1.6,22,50.8,kg/m2,,2.28,,,
エキスパンドメタル,EXM,XS-42,,,2.3,22,50.8,kg/m2,,4.1,,,
エキスパンドメタル,EXM,XS-43,,,3.2,22,50.8,kg/m2,,8,,,
エキスパンドメタル,EXM,XS-61,,,2.3,34,76.2,kg/m2,,3.19,,,
エキスパンドメタル,EXM,XS-62,,,3.2,34,76.2,kg/m2,,5.91,,,
エキスパンドメタル,EXM,XS-63,,,4.5,34,76.2,kg/m2,,10.4,,,
エキスパンドメタル,EXM,XG-21,,,4.5,36,101.6,kg/m2,,13.7,,,
エキスパンドメタル,EXM,XG-22,,,6,36,101.6,kg/m2,,18.3,,,
エキスパンドメタル,EXM,XG-23,,,8,36,101.6,kg/m2,,31.4,,,
,,,,,,,,,,,,,
アイビーム,I,100×75×5,,,,,,bar,,12.9,,,
アイビーム,I,125×75×5.5,,,,,,bar,,16.1,,,
アイビーム,I,150×75×5.5,,,,,,bar,,17.1,,,
アイビーム,I,150×125×8.5,,,,,,bar,,36.2,,,
アイビーム,I,200×100×7,,,,,,bar,,26,,,
アイビーム,I,200×150×8,,,,,,bar,,50.4,,,
アイビーム,I,250×125×7.5,,,,,,bar,,38.3,,,
アイビーム,I,250×125×10,,,,,,bar,,55.5,,,
アイビーム,I,300×150×8,,,,,,bar,,48.3,,,
アイビーム,I,300×150×10,,,,,,bar,,65.5,,,
アイビーム,I,300×150×11.5,,,,,,bar,,76.8,,,
アイビーム,I,350×150×9,,,,,,bar,,58.5,,,
アイビーム,I,350×150×12,,,,,,bar,,87.2,,,
アイビーム,I,400×150×10,,,,,,bar,,72,,,
アイビーム,I,400×150×12.5,,,,,,bar,,95.8,,,
アイビーム,I,450×175×11,,,,,,bar,,91.7,,,
アイビーム,I,450×175×13,,,,,,bar,,115,,,
,,,,,,,,,,,,,
リップ溝形鋼,LC,1.6×60×30×10,,,,,,bar,,1.63,,,
リップ溝形鋼,LC,2.3×60×30×10,,,,,,bar,,2.25,,,
,,,,,,,,,,,,,
リップ溝形鋼,LC,1.6×75×45×15,,,,,,bar,,2.32,,,
リップ溝形鋼,LC,2.3×75×45×15,,,,,,bar,,3.25,,,
,,,,,,,,,,,,,
リップ溝形鋼,LC,1.6×100×50×20,,,,,,bar,,2.88,,,
リップ溝形鋼,LC,2.3×100×50×20,,,,,,bar,,4.06,,,
リップ溝形鋼,LC,3.2×100×50×20,,,,,,bar,,5.5,,,
,,,,,,,,,,,,,
リップ溝形鋼,LC,2.3×125×60×20,,,,,,bar,,4.78,,,
リップ溝形鋼,LC,3.2×125×60×20,,,,,,bar,,6.51,,,
,,,,,,,,bar,,,,,
リップ溝形鋼,LC,2.3×150×50×20,,,,,,bar,,4.96,,,
リップ溝形鋼,LC,3.2×150×50×20,,,,,,bar,,6.76,,,
,,,,,,,,,,,,,
